iter	Passed	Remaining
609	1242	794
610	1243	791
611	1247	790
612	1249	788
613	1251	786
614	1253	784
615	1254	782
616	1256	779
617	1257	777
618	1262	776
619	1265	775
620	1267	773
621	1269	771
622	1271	769
623	1273	767
624	1277	766
625	1281	765
626	1283	763
627	1285	761
628	1287	759
629	1293	759
630	1295	757
631	1297	755
632	1299	753
633	1301	751
634	1303	749
635	1307	748
636	1310	746
637	1311	744
638	1313	742
639	1315	739
640	1317	737
641	1319	735
642	1322	734
643	1328	734
644	1330	732
645	1332	730
646	1334	728
647	1340	728
648	1343	726
649	1345	724
650	1347	722
651	1348	719
652	1351	718
653	1353	716
654	1356	714
655	1357	712
656	1359	709
657	1360	707
658	1362	704
659	1364	702
660	1366	700
661	1368	698
662	1370	696
663	1372	694
664	1374	692
665	1375	690
666	1377	687
667	1379	685
668	1382	684
669	1384	681
670	1386	679
671	1387	677
672	1389	675
673	1391	673
674	1396	672
675	1398	670
676	1399	667
677	1401	665
678	1403	663
679	1404	661
680	1406	658
681	1408	656
682	1410	654
683	1412	652
684	1414	650
685	1415	647
686	1417	645
687	1420	643
688	1421	641
689	1425	640
690	1428	638
691	1431	636
692	1432	634
693	1434	632
694	1436	630
695	1439	628
696	1442	627
697	1444	625
698	1446	622
699	1448	620
700	1449	618
701	1451	616
702	1454	614
703	1456	612
704	1458	610
705	1459	607
706	1461	605
707	1462	603
708	1464	601
709	1466	598
710	1468	597
711	1470	594
712	1472	592
713	1474	590
714	1475	588
715	1477	586
716	1479	584
717	1482	582
718	1485	580
719	1486	578
720	1488	575
721	1490	573
722	1491	571
723	1493	569
724	1494	567
725	1497	565
726	1499	563
727	1501	561
728	1503	558
729	1505	556
730	1507	554
731	1508	552
732	1510	550
733	1512	548
734	1514	546
735	1516	543
736	1518	541
737	1519	539
738	1521	537
739	1522	535
740	1524	532
741	1526	530
742	1528	528
743	1530	526
744	1531	524
745	1533	521
746	1534	519
747	1536	517
748	1537	515
749	1539	513
750	1541	511
751	1543	509
752	1545	506
753	1546	504
754	1548	502
755	1549	500
756	1551	498
757	1553	495
758	1556	494
759	1558	492
760	1559	489
761	1561	487
762	1562	485
763	1564	483
764	1565	480
765	1567	478
766	1569	476
767	1572	474
768	1573	472
769	1575	470
770	1577	468
771	1579	466
772	1580	464
773	1582	462
774	1587	460
775	1589	458
776	1591	456
777	1592	454
778	1594	452
779	1595	450
780	1597	447
781	1599	445
782	1601	443
783	1603	441
784	1604	439
785	1606	437
786	1607	435
787	1609	432
788	1610	430
789	1613	428
790	1615	426
791	1617	424
792	1618	422
793	1620	420
794	1621	418
795	1623	416
796	1624	413
797	1626	411
798	1629	409
799	1631	407
800	1633	405
801	1634	403
802	1636	401
803	1637	399
804	1639	397
805	1641	394
806	1644	393
807	1646	391
808	1648	389
809	1650	387
810	1652	385
811	1653	382
812	1655	380
813	1657	378
814	1659	376
815	1662	374
816	1663	372
817	1665	370
818	1667	368
819	1668	366
820	1670	364
821	1672	362
822	1674	360
823	1677	358
824	1679	356
825	1680	354
826	1682	351
827	1683	349
828	1685	347
829	1687	345
830	1689	343
831	1691	341
832	1693	339
833	1694	337
834	1696	335
835	1698	333
836	1699	331
837	1703	329
838	1706	327
839	1708	325
840	1710	323
841	1711	321
842	1713	319
843	1714	316
844	1717	315
845	1720	313
846	1722	311
847	1723	308
848	1725	306
849	1726	304
850	1728	302
851	1730	300
852	1732	298
853	1733	296
854	1735	294
855	1736	292
856	1738	290
857	1739	287
858	1741	285
859	1742	283
860	1744	281
861	1746	279
862	1748	277
863	1750	275
864	1751	273
865	1753	271
866	1754	269
867	1756	267
868	1757	264
869	1759	262
870	1761	260
871	1763	258
872	1764	256
873	1766	254
874	1768	252
875	1769	250
876	1771	248
877	1773	246
878	1775	244
879	1777	242
880	1779	240
881	1781	238
882	1782	236
883	1784	234
884	1785	232
885	1787	229
886	1789	227
887	1791	225
888	1793	223
889	1795	221
890	1796	219
891	1798	217
892	1800	215
893	1801	213
894	1803	211
895	1805	209
896	1808	207
897	1809	205
898	1810	203
899	1812	201
900	1813	199
901	1815	197
902	1816	195
903	1818	193
904	1820	191
905	1822	189
906	1823	187
907	1825	184
908	1827	182
909	1828	180
910	1830	178
911	1831	176
912	1833	174
913	1835	172
914	1837	170
915	1839	168
916	1840	166
917	1842	164
918	1843	162
919	1845	160
920	1846	158
921	1848	156
922	1850	154
923	1852	152
924	1853	150
925	1854	148
926	1856	146
927	1857	144
928	1859	142
929	1860	140
930	1862	138
931	1865	136
932	1866	134
933	1868	132
934	1869	129
935	1871	127
936	1872	125
937	1874	123
938	1876	121
939	1878	119
940	1880	117
941	1881	115
942	1883	113
943	1884	111
944	1886	109
945	1888	107
946	1889	105
947	1892	103
948	1894	101
949	1896	99
950	1897	97
951	1899	95
952	1900	93
953	1902	91
954	1903	89
955	1905	87
956	1908	85
957	1910	83
958	1911	81
959	1913	79
960	1915	77
961	1916	75
962	1918	73
963	1919	71
964	1921	69
965	1923	67
966	1925	65
967	1926	63
968	1928	61
969	1929	59
970	1931	57
971	1933	55
972	1934	53
973	1936	51
974	1938	49
975	1939	47
976	1941	45
977	1942	43
978	1944	41
979	1945	39
980	1947	37
981	1948	35
982	1951	33
983	1953	31
984	1955	29
985	1956	27
986	1958	25
987	1960	23
988	1961	21
989	1963	19
990	1965	17
991	1967	15
992	1969	13
993	1970	11
994	1972	9
995	1973	7
996	1975	5
997	1977	3
998	1979	1
999	1981	0
